sequence_name,n_nt,n_qubits,n_runs,reps,shots,alpha,has_exact_ground_state,ground_state_energy,best_energy_found,success_rate,all_energies
toy_hairpin_9nt,9,9,5,2,2048,0.25,True,-5.0,-5.0,1.0,"[np.float64(-5.0), np.float64(-5.0), np.float64(-5.0), np.float64(-5.0), np.float64(-5.0)]"
toy_bulge_11nt,11,10,5,2,2048,0.25,True,-5.0,-5.0,1.0,"[np.float64(-5.0), np.float64(-5.0), np.float64(-5.0), np.float64(-5.0), np.float64(-5.0)]"
hairpin_A_12nt,12,10,5,2,2048,0.25,True,-7.0,-7.0,1.0,"[np.float64(-7.0), np.float64(-7.0), np.float64(-7.0), np.float64(-7.0), np.float64(-7.0)]"
hairpin_B_14nt,14,15,5,2,2048,0.25,True,-9.0,-9.0,1.0,"[np.float64(-9.0), np.float64(-9.0), np.float64(-9.0), np.float64(-9.0), np.float64(-9.0)]"
stem_bulge_15nt,15,23,5,2,2048,0.25,False,,-9.0,0.4,"[np.float64(-5.0), np.float64(-9.0), np.float64(-9.0), np.float64(-8.0), np.float64(-6.0)]"
random_12nt_seedA,12,15,5,2,2048,0.25,True,-4.0,-4.0,1.0,"[np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0)]"
random_12nt_seedB,12,16,5,2,2048,0.25,True,-4.0,-4.0,1.0,"[np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0)]"
random_15nt_seedA,15,21,5,2,2048,0.25,False,,-4.0,1.0,"[np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0)]"
random_15nt_seedB,15,23,5,2,2048,0.25,False,,-6.0,0.8,"[np.float64(-4.0), np.float64(-6.0), np.float64(-6.0), np.float64(-6.0), np.float64(-6.0)]"
random_18nt_seedA,18,10,5,2,2048,0.25,True,-3.0,-3.0,1.0,"[np.float64(-3.0), np.float64(-3.0), np.float64(-3.0), np.float64(-3.0), np.float64(-3.0)]"
random_20nt_seedA,20,13,5,2,2048,0.25,True,-4.0,-4.0,1.0,"[np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0), np.float64(-4.0)]"
