sequence_name,n_nt,n_qubits,reps,n_seeds,shots,alpha,best_energy,ground_state_energy,success_rate
toy_hairpin_9nt,9,9,1,3,2048,0.25,-5.0,-5.0,1.0
toy_hairpin_9nt,9,9,2,3,2048,0.25,-5.0,-5.0,1.0
toy_hairpin_9nt,9,9,3,3,2048,0.25,-5.0,-5.0,1.0
toy_bulge_11nt,11,10,1,3,2048,0.25,-5.0,-5.0,1.0
toy_bulge_11nt,11,10,2,3,2048,0.25,-5.0,-5.0,1.0
toy_bulge_11nt,11,10,3,3,2048,0.25,-5.0,-5.0,1.0
hairpin_A_12nt,12,10,1,3,2048,0.25,-7.0,-7.0,1.0
hairpin_A_12nt,12,10,2,3,2048,0.25,-7.0,-7.0,1.0
hairpin_A_12nt,12,10,3,3,2048,0.25,-7.0,-7.0,1.0
hairpin_B_14nt,14,15,1,3,2048,0.25,-9.0,-9.0,1.0
hairpin_B_14nt,14,15,2,3,2048,0.25,-9.0,-9.0,1.0
hairpin_B_14nt,14,15,3,3,2048,0.25,-9.0,-9.0,1.0
random_12nt_seedA,12,15,1,3,2048,0.25,-4.0,-4.0,1.0
random_12nt_seedA,12,15,2,3,2048,0.25,-4.0,-4.0,1.0
random_12nt_seedA,12,15,3,3,2048,0.25,-4.0,-4.0,1.0
random_12nt_seedB,12,16,1,3,2048,0.25,-4.0,-4.0,1.0
random_12nt_seedB,12,16,2,3,2048,0.25,-4.0,-4.0,1.0
random_12nt_seedB,12,16,3,3,2048,0.25,-4.0,-4.0,1.0
random_18nt_seedA,18,10,1,3,2048,0.25,-3.0,-3.0,1.0
random_18nt_seedA,18,10,2,3,2048,0.25,-3.0,-3.0,1.0
random_18nt_seedA,18,10,3,3,2048,0.25,-3.0,-3.0,1.0
random_20nt_seedA,20,13,1,3,2048,0.25,-4.0,-4.0,1.0
random_20nt_seedA,20,13,2,3,2048,0.25,-4.0,-4.0,1.0
random_20nt_seedA,20,13,3,3,2048,0.25,-4.0,-4.0,1.0
